address,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,pricing/rate/amountFormatted,pricing/rate/currency,pricing/rateType,primaryHost/badges/0,primaryHost/badges/1,primaryHost/firstName,primaryHost/hasProfilePic,primaryHost/hostUrl,primaryHost/id,primaryHost/languages/0,primaryHost/languages/1,primaryHost/languages/2,primaryHost/languages/3,primaryHost/memberSince,primaryHost/pictureUrl,primaryHost/responseRate,primaryHost/responseTime,primaryHost/smartName,primaryHost/thumbnailUrl,roomType,stars,url,primaryHost/about
"Karachi, Sindh, Pakistan",No,24.81938,67.03864,For likeminded people,2,29,$29,USD,nightly,Identity verified,,Masroor,true,https://www.airbnb.com/users/show/257882081,257882081,,,,,Joined in April 2019,https://a0.muscache.com/im/pictures/user/2ee2b44f-d0d2-43a5-9528-e989f7a55fa8.jpg?aki_policy=profile_large,0%,a few days or more,Masroor,https://a0.muscache.com/im/pictures/user/2ee2b44f-d0d2-43a5-9528-e989f7a55fa8.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/42201234,"Oh! My Lord Expand my chest for me & ease my task for me, loose a knot from my tongue they may understand my word.
A down to earth personality with mind above the skies."
"Karachi, Sindh, Pakistan",No,25.00738,67.22389,Delightful 1-Bedroom ranch with fire pit,3,30,$30,USD,nightly,Identity verified,,Zaman,true,https://www.airbnb.com/users/show/303370669,303370669,,,,,Joined in October 2019,https://a0.muscache.com/im/pictures/user/acd1f3d5-3b95-4d54-867e-3620b3cf95bd.jpg?aki_policy=profile_large,,,Zaman,https://a0.muscache.com/im/pictures/user/acd1f3d5-3b95-4d54-867e-3620b3cf95bd.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/52646820,
"Karachi, Sindh, Pakistan",No,24.82446,66.98042,"Feel it your,s",2,30,$30,USD,nightly,,,Ubaid,true,https://www.airbnb.com/users/show/243639069,243639069,,,,,Joined in February 2019,https://a0.muscache.com/im/pictures/user/39a194b5-a905-4be0-bf15-e7f38e197f6b.jpg?aki_policy=profile_large,,,Ubaid,https://a0.muscache.com/im/pictures/user/39a194b5-a905-4be0-bf15-e7f38e197f6b.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/32436211,
"Karachi, Sindh, Pakistan",No,24.919,67.176,Lovely space for family to spend vacation,2,22,$22,USD,nightly,,,Zaheer,true,https://www.airbnb.com/users/show/441001840,441001840,,,,,Joined in January 2022,https://a0.muscache.com/im/pictures/user/0190ae08-9918-4dd0-9009-4ef87c6ec195.jpg?aki_policy=profile_large,,,Zaheer,https://a0.muscache.com/im/pictures/user/0190ae08-9918-4dd0-9009-4ef87c6ec195.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/689078095438956700,
"Karachi, Sindh, Pakistan",No,24.85927,67.0598,Furnished rooms for working professionals,1,21,$21,USD,nightly,,,Muhammad,true,https://www.airbnb.com/users/show/376491319,376491319,,,,,Joined in November 2020,https://a0.muscache.com/im/pictures/user/26656906-7d5b-4d24-9fba-13eb74a8887d.jpg?aki_policy=profile_large,0%,a few days or more,Muhammad,https://a0.muscache.com/im/pictures/user/26656906-7d5b-4d24-9fba-13eb74a8887d.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/52978693,
"Karachi, Sindh, Pakistan",No,24.89604,67.1824,Airport Guest House Near Airport,10,23,$23,USD,nightly,,,Airport Guest House,true,https://www.airbnb.com/users/show/372147783,372147783,,,,,Joined in October 2020,https://a0.muscache.com/im/pictures/user/f4b93d8c-b8b1-4e3a-84ff-b7e2739fccb3.jpg?aki_policy=profile_large,,,Airport Guest House,https://a0.muscache.com/im/pictures/user/f4b93d8c-b8b1-4e3a-84ff-b7e2739fccb3.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/45905049,
"Karachi, Sindh, Pakistan",No,24.89482,67.18453,A comfy place for travellers.,2,23,$23,USD,nightly,1 Review,,Hassan,true,https://www.airbnb.com/users/show/265770337,265770337,,,,,Joined in June 2019,https://a0.muscache.com/im/pictures/user/163d8978-b50d-47dc-b3c8-2cd5d3366876.jpg?aki_policy=profile_large,,,Hassan,https://a0.muscache.com/im/pictures/user/163d8978-b50d-47dc-b3c8-2cd5d3366876.jpg?aki_policy=profile_small,Shared room,,https://www.airbnb.com/rooms/35300179,
"Karachi, Sindh, Pakistan",No,24.84372,67.0704,Private Rooms available for rent,2,21,$21,USD,nightly,Identity verified,,Okasha,true,https://www.airbnb.com/users/show/397877906,397877906,,,,,Joined in April 2021,https://a0.muscache.com/defaults/user_pic-640x640.png?v=3,,,Okasha,https://a0.muscache.com/defaults/user_pic-640x640.png?v=3,Private room,,https://www.airbnb.com/rooms/51415323,
"Karachi, Sindh, Pakistan",No,24.82105,67.06255,Friendly Host offers a Private Room,2,19,$19,USD,nightly,,,Agha,true,https://www.airbnb.com/users/show/155871711,155871711,,,,,Joined in October 2017,https://a0.muscache.com/im/pictures/user/9733a8a6-b8d2-496f-8f10-53e17c0e5fd0.jpg?aki_policy=profile_large,0%,a few days or more,Agha,https://a0.muscache.com/im/pictures/user/9733a8a6-b8d2-496f-8f10-53e17c0e5fd0.jpg?aki_policy=profile_small,Private room,,https://www.airbnb.com/rooms/43772039,
"Karachi, Sindh, Pakistan",No,24.90131,67.18252,"Luxurious place for guests, office environment.",4,23,$23,USD,nightly,Identity verified,,Abdul Qadeer,true,https://www.airbnb.com/users/show/345593601,345593601,,,,,Joined in May 2020,https://a0.muscache.com/im/pictures/user/5961ae0d-cbf9-4302-b0fd-7b9901460d11.jpg?aki_policy=profile_large,,,Abdul Qadeer,https://a0.muscache.com/im/pictures/user/5961ae0d-cbf9-4302-b0fd-7b9901460d11.jpg?aki_policy=profile_small,Shared room,,https://www.airbnb.com/rooms/43377803,I am a govt servant and also running a school at this place.
